lat,lon,county
40.751633,-73.93981,Queens County
40.740517,-74.00581,New York County
40.760426,-73.968056,New York County
40.669117,-73.94284,Kings County
40.761684,-73.98544,New York County
40.72306,-74.0641,Hudson County
40.728962,-73.98937,New York County
40.743465,-74.02894,Hudson County
40.773624,-73.9641,New York County
40.728706,-73.98952,New York County
40.709198,-74.011185,New York County
40.758385,-73.98824,New York County
40.83818,-73.941505,New York County
40.760345,-73.98722,New York County
40.728867,-73.90047,Queens County
40.82949,-73.92694,Bronx County
40.75793,-73.98719,New York County
40.72096,-73.99569,New York County
40.82588,-73.88794,Bronx County
40.752556,-73.91411,Queens County
40.749264,-73.99426,New York County
40.72989,-74.00061,New York County
40.69221,-73.98875,Kings County
40.738525,-73.991875,New York County
40.709774,-74.01455,New York County
40.91734,-73.84037,Westchester County
40.72542,-73.99002,New York County
40.7846,-73.977356,New York County
40.76185,-73.99015,New York County
40.85693,-74.14568,Passaic County
40.760258,-73.99093,New York County
40.865406,-73.92706,New York County
39.029617,-74.94122,Cape May County
40.729565,-73.984436,New York County
40.742393,-74.00331,New York County
40.785877,-74.01347,Hudson County
40.748375,-73.939514,Queens County
40.834824,-73.88905,Bronx County
39.87298,-75.27465,Delaware County
40.734715,-73.99996,New York County
40.73545,-73.85037,Queens County
40.729813,-73.958466,Kings County
40.724632,-73.99553,New York County
40.71965,-73.99967,New York County
43.102703,-77.54125,Monroe County
40.600456,-73.93692,Kings County
40.770252,-73.9601,New York County
40.74591,-74.00536,New York County
40.786854,-73.97768,New York County
40.733955,-74.00039,New York County
40.725986,-73.98968,New York County
40.70579,-73.93704,Kings County
40.71594,-73.986824,New York County
40.916748,-74.05872,Bergen County
40.720467,-73.99688,New York County
40.66891,-73.78165,Queens County
40.74487,-73.983986,New York County
40.747986,-73.987274,New York County
40.743187,-73.9913,New York County
40.71781,-73.9576,Kings County
40.72817,-73.987915,New York County
40.71598,-73.962036,Kings County
40.729015,-73.97807,New York County
40.734592,-73.870674,Queens County
40.747063,-74.005196,New York County
40.716362,-73.99716,New York County
40.74764,-73.98635,New York County
40.77183,-73.93009,Queens County
40.72165,-73.997536,New York County
40.757404,-73.793495,Queens County
40.743484,-74.00755,New York County
40.71885,-73.98683,New York County
40.686398,-73.97455,Kings County
40.760666,-73.99495,New York County
40.94814,-74.071175,Bergen County
40.727516,-73.98342,New York County
40.71304,-73.94419,Kings County
40.67881,-73.97381,Kings County
40.729362,-73.987206,New York County
40.714226,-73.95259,Kings County
40.78215,-73.82944,Queens County
40.756992,-73.98908,New York County
40.816147,-73.98043,Bergen County
40.723404,-73.99939,New York County
40.729046,-73.98858,New York County
40.737106,-74.00126,New York County
40.69332,-73.97241,Kings County
40.823166,-73.94252,New York County
40.47797,-74.29691,Middlesex County
40.716007,-73.965485,Kings County
43.211025,-77.46484,Monroe County
40.67997,-73.906586,Kings County
40.889713,-74.271225,Essex County
40.805527,-74.248024,Essex County
40.96374,-74.24622,Passaic County
40.908096,-74.552536,Morris County
40.8233,-73.941864,New York County
40.836143,-74.15106,Passaic County
40.74526,-73.99248,New York County
40.774384,-73.954254,New York County
40.72922,-73.98914,New York County
40.696777,-74.182045,Essex County
40.639652,-74.03232,Kings County
40.781673,-73.97946,New York County
41.529415,-73.89931,Dutchess County
40.69988,-73.91112,Kings County
40.730103,-74.006905,New York County
40.75816,-73.98772,New York County
40.744698,-73.999115,New York County
40.78664,-73.97564,New York County
40.76184,-73.99368,New York County
40.721046,-73.9872,New York County
40.729588,-73.9988,New York County
40.732647,-73.98586,New York County
40.739723,-73.78956,Queens County
40.76121,-73.99414,New York County
40.84371,-74.12985,Passaic County
40.808075,-73.94556,New York County
40.70508,-73.93365,Kings County
40.70437,-73.800735,Queens County
40.743767,-74.000854,New York County
40.716778,-74.00814,New York County
40.71563,-73.9964,New York County
40.675842,-73.86659,Queens County
40.90093,-73.82726,Westchester County
40.75257,-73.994606,New York County
40.77352,-73.95554,New York County
40.725216,-74.00357,New York County
40.782993,-73.95891,New York County
40.7872,-74.04624,Hudson County
40.67064,-73.95906,Kings County
40.750328,-73.98935,New York County
40.84606,-74.15561,Passaic County
40.93467,-73.90101,Westchester County
40.571438,-74.111145,Richmond County
40.75929,-73.98094,New York County
40.75875,-73.987274,New York County
43.23469,-78.22584,Orleans County
40.74537,-73.97749,New York County
40.7183,-74.01597,New York County
40.45343,-74.469406,Middlesex County
40.750145,-73.99439,New York County
40.811646,-74.122826,Bergen County
40.769768,-73.95441,New York County
40.724293,-73.99289,New York County
40.747967,-73.9872,New York County
40.750072,-74.00272,New York County
40.735176,-73.9796,New York County
40.77347,-73.983734,New York County
40.73198,-73.99186,New York County
40.65027,-73.89,Kings County
40.725098,-74.003075,New York County
40.76526,-73.9764,New York County
40.78402,-73.974525,New York County
40.780087,-73.927025,New York County
40.743088,-74.00575,New York County
40.76442,-73.99944,New York County
40.72264,-73.98901,New York County
40.60062,-73.94247,Kings County
40.62115,-74.13265,Richmond County
40.736237,-74.02922,Hudson County
40.74789,-73.8821,Queens County
