lat,lon
40.73331,-74.00512
42.727417,-73.79553
40.75109,-73.99642
40.63706,-74.008514
43.02107,-78.11869
40.94852,-73.7334
42.68524,-73.82611
40.694683,-74.257645
40.829067,-73.94877
40.73294,-73.98195
40.753498,-73.98565
40.619286,-73.96452
40.7859,-73.97269
40.81952,-73.95984
40.57518,-73.98278
40.699596,-73.94776
40.67316,-74.01034
40.619946,-73.98805
40.603996,-74.002525
40.748203,-73.993034
40.799545,-74.19634
40.871353,-74.18976
39.785786,-75.03924
40.677082,-74.01539
40.658978,-73.96449
40.647507,-73.98063
40.79869,-73.94161
40.412197,-74.14551
40.58798,-73.9733
40.508408,-74.72857
40.78205,-73.97174
40.722034,-73.98843
40.66032,-73.98392
40.75381,-73.98958
40.76982,-73.978485
40.792976,-74.06276
40.741398,-73.9856
40.864502,-74.1292
40.72331,-74.007195
43.02786,-73.376076
40.68984,-73.92272
40.83777,-73.83602
40.71575,-74.007126
40.84996,-73.96995
40.853863,-74.072525
40.743046,-73.99259
40.74041,-73.989426
40.879154,-73.905624
40.3173,-74.48969
40.71677,-73.99099
40.678596,-74.10638
40.73383,-74.05857
41.768265,-74.73887
40.736332,-74.17462
43.03705,-76.064674
40.729164,-73.992096
39.3906,-74.565346
40.7529,-74.235466
40.71904,-74.28032
42.745625,-73.80996
40.893425,-73.81981
40.734066,-74.00847
43.253517,-77.71518
40.63651,-74.00711
40.575626,-73.98108
40.76426,-73.95432
40.751526,-73.85662
43.148247,-77.5781
40.772858,-73.95793
40.7353,-74.16535
40.750866,-74.00388
40.81304,-74.07763
43.15495,-75.89253
40.740566,-74.005424
42.06239,-74.05407
40.714554,-74.011955
40.815323,-74.21929
40.70865,-73.92457
40.715496,-74.00894
40.76073,-73.99762
40.81761,-74.395065
40.70989,-73.91973
40.75512,-73.979546
40.77757,-73.96126
40.876457,-73.92763
40.732773,-73.99262
40.627426,-74.92362
40.746277,-73.9777
40.75697,-73.96923
41.184196,-74.51913
40.73058,-73.69366
40.703423,-74.00923
40.718815,-74.00249
40.833775,-73.888596
40.64555,-73.95553
40.755245,-73.970535
43.088314,-77.59477
40.73779,-73.95353
40.64433,-74.7161
40.81756,-73.858826
40.789677,-73.97551
40.72735,-73.99031
40.15286,-74.62792
40.927326,-72.75005
40.751293,-73.99718
40.940468,-74.098404
40.726147,-73.99932
40.760494,-73.98598
40.67506,-74.20976
42.89519,-74.47014
40.74555,-73.94747
40.76723,-74.00726
40.570972,-74.11067
40.753963,-73.982056
40.74009,-73.997574
40.72838,-73.98909
40.678516,-73.93263
41.76289,-73.9319
40.7389,-73.98035
40.752007,-74.005196
40.726574,-73.98604
40.86202,-73.9549
39.684772,-75.09788
40.794407,-74.11933
43.084885,-77.62443
40.73478,-73.978615
40.765396,-73.91374
39.023933,-74.896545
43.210823,-78.46892
40.917305,-73.78943
40.816017,-73.99815
40.67372,-73.976105
43.953087,-73.73028
40.785248,-73.95314
40.699722,-73.94937
40.732525,-74.00798
40.722412,-73.993164
40.72639,-73.97511
40.74236,-73.91887
40.73719,-73.88632
40.75885,-73.983604
40.842445,-73.85254
40.723755,-73.96239
43.261986,-77.44979
43.25915,-75.18486
40.74446,-73.822266
40.76108,-73.994446
40.714848,-74.00767
40.65389,-73.82835
40.739136,-74.165695
40.73998,-73.75867
40.778088,-73.79953
40.7051,-74.01109
40.857674,-74.35457
40.802013,-74.46312
40.730347,-73.98358
40.749252,-73.99457
40.694794,-74.17767
43.13901,-77.57588
40.70746,-73.817474
40.637924,-73.77594
40.742344,-73.95842
40.88714,-74.05874
40.795273,-73.971405
40.708313,-74.035446
40.72488,-73.99248
40.75815,-73.9855
40.762043,-73.97922
40.93297,-73.759415
40.621517,-73.746735
40.724117,-74.03674
40.78166,-73.95861
40.588135,-73.8002
43.457256,-76.12285
40.102886,-75.308395
40.79201,-74.00375
40.769917,-73.91843
40.6832,-73.97475
40.729164,-73.99218
40.76795,-74.02203
40.919724,-74.18154
40.791237,-73.80513
40.94365,-72.83946
40.711346,-73.946815
40.720707,-73.84683
42.33563,-77.29224
40.77124,-73.92982
40.760685,-73.98998
40.442772,-74.14194
42.67557,-73.77974
40.619488,-73.98989
40.907394,-73.86813
40.816757,-73.92303
40.69179,-73.98605
40.757526,-73.975464
40.719868,-73.950195
40.12358,-74.285385
40.687504,-74.1828
42.76031,-73.81881
40.75069,-73.99703
43.157703,-77.54887
40.738113,-74.00561
40.90331,-74.06315
41.62178,-73.92112
40.72721,-74.00596
40.782364,-74.023224
40.152565,-74.68822
40.72408,-73.853775
40.764126,-73.97486
40.687263,-73.941505
40.69103,-73.939674
40.13565,-74.44244
40.637726,-74.0763
42.655834,-73.7644
43.161617,-76.118004
40.74913,-74.00677
40.73924,-73.97702
40.58554,-73.951614
40.74343,-73.99976
40.743305,-73.883354
42.73059,-76.97257
40.75,-74.00382
40.744057,-73.934364
40.77805,-74.189026
40.699345,-74.061646
40.68936,-73.923584
40.74928,-73.98863
40.911438,-73.779976
40.74587,-74.00254
40.755615,-73.98795
39.458138,-74.66326
40.873455,-74.13783
40.769287,-73.912766
41.63805,-74.10221
39.839657,-75.096016
40.64945,-75.28739
40.803394,-74.11047
40.04781,-74.90306
40.75174,-74.003876
40.738956,-73.98736
40.873856,-73.90804
40.947777,-74.19845
