"40.74837,-73.98806"
"40.72197,-73.957565"
"40.71548,-74.00449"
"40.76132,-73.967575"
"40.83779,-73.83439"
"40.73013,-73.99772"
"40.743015,-74.000244"
"40.638706,-75.434105"
"40.76798,-73.98201"
"40.758488,-73.9867"
"40.91608,-74.07329"
"40.710655,-73.958916"
"40.74762,-73.98646"
"40.731327,-73.98875"
"40.263668,-74.48187"
"40.742523,-73.98035"
"40.76257,-73.967964"
"40.76099,-73.962944"
"39.87278,-75.27723"
"40.614162,-74.00063"
"40.96463,-74.07844"
"40.903835,-74.03174"
"40.730213,-74.00684"
"40.715717,-73.99332"
"40.759438,-73.98302"
"40.745792,-73.90297"
"40.751938,-73.97914"
"42.954254,-78.69421"
"40.765102,-73.99996"
"40.75227,-73.98731"
"40.67465,-73.96341"
"40.83609,-74.15063"
"40.863483,-73.83414"
"40.75498,-73.99526"
"40.72234,-73.98783"
"40.748093,-73.98507"
"40.72197,-74.00423"
"40.738567,-73.99005"
"40.70888,-73.81835"
"40.78974,-73.814255"
"40.774834,-73.98164"
"40.757362,-73.984276"
"40.72746,-74.005066"
"40.695606,-73.836365"
"40.762707,-73.98952"
"40.682636,-73.993256"
"40.758194,-73.9627"
"40.710537,-73.958145"
"40.79289,-74.25593"
"40.7608,-73.92291"
"40.7412,-74.00542"
"40.74992,-73.98361"
"40.764202,-73.77146"
"40.720066,-73.98831"
"40.716534,-73.96145"
"40.809685,-73.95018"
"40.723507,-73.95071"
"40.726116,-73.991615"
"40.749996,-73.97225"
"40.85535,-73.9333"
"40.76422,-73.97864"
"40.897232,-74.22067"
"40.738064,-74.00095"
"40.715477,-73.944626"
"40.73934,-73.99544"
"40.662663,-73.72021"
"40.7558,-73.98219"
"40.812157,-74.12222"
"40.813484,-74.07433"
"40.752407,-73.98997"
"40.72073,-73.995094"
"40.74454,-73.99072"
"40.733505,-73.99106"
"40.726948,-73.991486"
"40.759674,-73.98455"
"40.75091,-73.98206"
"40.72329,-73.98997"
"40.736828,-73.99065"
"40.68874,-73.9833"
"40.71106,-73.95063"
"40.752975,-74.02614"
"43.01444,-78.84776"
"40.755695,-73.990974"
"40.745087,-73.98854"
"40.881428,-74.22877"
"40.749973,-73.99169"
"40.761723,-73.994156"
"40.850235,-73.933235"
"40.724506,-73.99806"
"40.977306,-73.78568"
"40.75124,-73.991615"
"40.755386,-73.88606"
"40.828293,-74.10081"
"40.76195,-73.918465"
"40.734966,-73.97966"
"40.75793,-73.98702"
"40.73167,-74.00161"
"43.21414,-77.44759"
"40.76492,-73.987785"
"40.767265,-73.95962"
"40.750557,-73.98801"
"40.722332,-73.98335"
"40.72199,-73.99356"
"40.721176,-73.989426"
"40.749447,-74.027176"
"40.75876,-73.987305"
"40.800198,-73.95489"
"40.893074,-73.97344"
"40.857033,-73.9087"
"40.812786,-74.21616"
"40.735657,-73.99476"
"40.67425,-73.98229"
"40.73337,-73.99879"
"42.803345,-78.75376"
"40.967697,-74.07359"
"40.87459,-74.1651"
"40.731197,-74.00157"
"40.75042,-73.98772"
"40.75293,-73.974724"
"40.731472,-74.00227"
"40.71949,-73.99638"
"40.696693,-74.27156"
"40.722683,-73.99202"
"40.87551,-73.824265"
"40.707226,-73.92125"
"40.73801,-73.98877"
"40.727962,-74.000046"
"40.89392,-73.81838"
"40.841805,-74.159386"
"40.732998,-73.9855"
"40.82503,-73.87116"
"40.70245,-73.99325"
"40.75671,-74.001"
"40.038334,-75.341675"
"40.721474,-73.99505"
"40.716476,-73.99797"
"40.80702,-73.95358"
"40.825233,-73.94289"
"40.714043,-73.955956"
"40.750298,-73.97507"
"40.71791,-73.9928"
"40.756382,-73.986244"
"40.716446,-73.95289"
"40.759903,-73.98035"
"40.814026,-73.94063"
"40.77099,-73.9221"
"40.75876,-73.99302"
"40.882954,-74.03819"
"40.731483,-74.00315"
"40.744297,-74.00641"
"40.740395,-74.25269"
"40.75495,-73.9686"
"40.759315,-73.98513"
"40.804317,-74.23761"
"40.819565,-73.959724"
"40.751045,-73.98755"
"42.974163,-78.86657"
"40.73385,-74.00505"
"40.72765,-73.99361"
"40.726524,-73.98613"
"40.740562,-73.99818"
"40.61917,-73.989914"
"40.75922,-73.9896"
"40.75134,-73.98724"
"40.210106,-75.222946"
"40.74509,-73.988396"
"40.78202,-73.979065"
"40.68014,-73.878006"
"40.714466,-73.9984"
"40.687157,-73.9853"
"40.761944,-73.9836"
"40.814426,-73.83624"
"40.725826,-73.98644"
"40.8,-73.96811"
"40.713722,-73.961945"
"44.845974,-74.32929"
"40.96373,-73.85643"
"40.74453,-73.99876"
"40.708004,-73.928764"
"40.760715,-73.99028"
"40.28151,-75.29227"
"40.78206,-73.97927"
"40.7304,-73.99274"
"40.84622,-73.93858"
